Input smiles,SA,QED,LogP
[N-]=[N+]=Nc1ccccc2cc(c(N=[N+]=[N-])c1)C(=O)N(C(=O)[C@H](N)CON)C2=O,5.116176382846486,0.25462304230988975,-23.577832436626725
C#CC1=CC=C2C=C[C@@H]3CCCC[C@@H]([NH+]=NN)C[C@@]1(N=C=S)[C@H]2C3,7.043279624906207,0.2023742230405295,-18.740967846031385
C#CC1=Cc2cc(c(=O)[nH]c2OC(=O)[C@@H](N)Cc2ccc(F)cc2)C(Cl)=CC(N=[N+]=[N-])=CC1=NN=N,5.660968834760014,0.1325621019928837,-22.735491710866985
[N-]=[N+]=Nc1ccc2cc3nc(C=NN=N)[nH]c3cc2c1,3.574912347115575,0.23914137274274505,0.6347313225780417
N#Cc1cc(N=[N+]=[N-])ccccc2cc1C(=O)N(C(=O)C(F)(F)CN)C2=O,4.4487020872375025,0.37326299520577055,-22.563507260688443
C#Cc1cc2cc(ccc(N)cc1N=C(C)C#N)C=C2,4.973220273944614,0.6292123033502867,-18.90648502480051
C#CC1=Cc2c(=O)n([O-])c(OC(=O)NCOc3ccccc3)c3cccc(c23)C1=N,3.654656114186155,0.5159561472515486,-0.2643841511969956
COC(=O)c1ccc(OC(=O)N2NC(=N)OC2c2cccc3ccccc23)cc1,3.1801505689002694,0.66188876994516,0.8104983971423699
C#Cc1cc2c3c(cccc3c1N=[N+]=[N-])C(=O)N([O-])C2=O,3.5958452119441064,0.2625321803778827,-21.18082274967511
N#CC[C@H]1CC[C@@H]1C(=O)N1NC(C=NN=N)OC1c1cccc2ccccc12,4.703195072033902,0.47215081723940294,-1.094146458732356
C#Cc1cc2c3c(cccc3c1NC(=O)NCCOCCOC)C(=O)N(O)C2=O,2.9110922719485757,0.2827192739045566,-21.24187973036401
CCC(=O)NCC(=O)Oc1[nH]c2c3c(cccc13)C(=[N+](C)C1CC(C)C1)C=C2N=[N+]=[N-],4.027400304675743,0.2438829891370007,-17.75786812583154
CC(C)(C)OC(=O)NCCCn1cc(Cc2ccc3ccc4cccc5ccc2c3c45)nn1,2.6021816121997396,0.2723627351220645,2.9579207994285786
CCc1nnn(-c2ccccc3[nH]c(C=NN=N)nc3cc(C#N)c2)c1C(=O)N(CC)CC,3.7895029252504804,0.3241539851382998,-13.938039962805892
Cc1nnn(C[C@H](O)c2cccc(F)c2)c1-c1cc2c3c(cccc3c1N=[N+]=[N-])C(=O)N([O-])C2=O,3.9767807129865522,0.19697057988065547,-20.621113045259555
C[C@H](O)c1c(CC(F)(F)F)nnn1-c1ccccc2nc(C=NN=N)[nH]c2cc(C#N)c1,4.3711881089537545,0.31210364982553246,-14.556634502955601
CCc1nnn(-c2ccc3cc4nc(C=NN=N)[n-]c4cc3c2)c1CN(C)CCCF,4.105193764103694,0.25249614756405603,-0.26514148073304555
[H]N=NN=C1C=C(N)C=C[C]2C[C](C=C1C#C)C(=O)N([O-])C2=O,5.935305857717955,0.3191762661190672,-25.45558752500282
CCCC[C@@H](NC(=S)Oc1[n-]c2c3c(cccc13)C(=[N+](C)C1CC(C)C1)C=C2N=[N+]=[N-])C(=O)OC,4.817210789537393,0.14238252164850762,-17.880927982379323
Cc1nnn([C@@H]2CCN(C(=O)OC(C)(C)C)C[C@H]2F)c1-c1cc2c3c(cccc3c1N=[N+]=[N-])C(=O)N(O)C2=O,4.3265911135970745,0.16403054029506392,-20.665213645336905
C#CC1=CC=C2C=C[C@@H]3CCCC[C@@H](N(CCC4CC4)N=N)C[C@]1(N=[N+]=[N-])[C@H]2C3,6.539230403032973,0.19150476742320197,-15.452702588550135
C#Cc1cc2cc(ccc(N)cc1[NH2+]N=N)C=C2,5.511356071319494,0.3174334538809769,-20.580538226584864
CC1=C[C@@H](C(=O)N2NC(N=[N+]=[N-])OC2c2cccc3ccccc23)SC1,4.604051631302378,0.3859540622250351,-0.7152529061543855
N=NN=Cc1[nH]c2cc3cc(N)ccc3cc2[nH+]1,4.192657141968247,0.2707160507393297,-1.4592975493901799
Cc1nnn(-c2cc(C)c3c(ccc4ccccc43)n2)c1CNC(=O)c1cocn1,2.974374297990181,0.46532663838917826,0.9932118019260532
N#Cc1cc(NC(=O)[C@H]2C[C@@H]2C2CC2)ccccc2[nH]c(C=NN=N)nc2c1,4.253437737501553,0.41703956046676155,-14.24399594082742
C=CC(=O)N(C(=O)OCCCCCl)c1c(C#N)sc2ccc3ccccc3c12,3.0907265320044344,0.2998656915271293,2.315800191525075
C#CC1=CC=C2C=C[C@@H]3CCCC[C@@H](N(N=N)C(=O)[C@H](N)Cc4ccc(F)cc4)C[C@@]1([NH3+])[C@H]2C3,6.298534074254645,0.3536702394627537,-16.999499941374236
CN1CCC[C@](O)(Cn2nnc(CC(=O)C#N)c2-c2cccc3ccccc23)C1,3.5704736458233457,0.6723464057087217,-0.6376111620628416
Cc1cc(-n2cc(CCOC3CCOCC3)nn2)[nH+]c2ccc3ccccc3c12,3.3983964063155003,0.49071365887622875,0.43623999779871225
CCC[C@@H](C)C(=O)Nc1cccccc2ccccc2c(C#N)c1,2.798074692435071,0.8408931280737336,-11.590117797387055
C#Cc1c(C#N)cc2c3c([nH]c([O-])c13)C(N)=CC2=[N+](C)C1CC(C)C1,4.549321371923249,0.6148639067541556,-19.678453878882856
C#CC1=Cc2cc(c(=O)n([O-])c2C#N)C=CC(N=[N+]=[N-])=CC1=NN=N,5.910628552761353,0.28951664044353265,-24.073846572018684
C[C@@H](O)Cn1cc(CC2=Cc3c(=O)n([O-])c(O)c4cccc(c34)C2=NC(=O)Oc2cccc(Cl)c2)nn1,4.201023684178109,0.4058049227896335,-0.6158113524115267
N=NN=Cc1nc2cc3ccc(N)cc3cc2[n-]1,4.152806846110258,0.30912410568017085,-1.265077550494397
CCOc1ccccc1NC(=O)N1[C@@H](c2ccc3ccccc3c2)O[C@H](C=NN=N)[N+]1=C(C)O,4.153718055738266,0.15628001391520804,0.6552216413594396
C#Cc1ccc2cc3nc(C=NN=N)[nH]c3cc2c1N,3.6486396820311136,0.21711253595755808,-0.4146618074337114
N#CC(=O)C#Cc1cc2cc(ccc(N)cc1[NH+]=NN)C=C2,5.62782930684947,0.23078478076680412,-21.863663172684262
[N-]=[NH+]N=CC1OC(c2ccc3ccccc3c2)NN1C(=O)NCN=C=O,4.881720457537039,0.3041381579227476,-3.6734492327780104
O=S(=O)([N-]C(O)=CNC(=S)Nc1cnccc1C(F)(F)F)c1ccc2ccccc2c1,3.3266512885755635,0.3702403252739603,1.3765009092590736
Cc1nnn(Cc2cccc(F)c2)c1-c1ccc2c(ccc(N=[N+]=[N-])cc1NN=N)C[N+](C)(C)C2,4.110312238603792,0.15075015130946245,-12.645451918229803
Cc1nnn(-c2cccc(Cl)c2)c1-c1cc2ccccc2c2ccccc12,2.2603466044865126,0.3465487803657083,3.731560633573831
N#CCC(=O)N1NC(c2ccc3ccccc3c2)OC1C=NN=N,4.264691665039985,0.510931071133282,-1.283519446679259
C[C@@H]1CC[C@@H](CC(=O)N2C(=O)c3ccc(C([NH-])=O)cc(N=[N+]=[N-])cc(Cl)c(c3)C2=O)N1,5.474643190306522,0.31946417576580144,-15.469732069547142
C#CC1=CC=C2C=C[C@H]3C[C@@H]4N=C(C=NN=N)N[C@H]4C[C@H](N=NN)C[C@]1(NC(=S)Nc1ccc(C(=O)OCC)cc1Cl)[C@@H]2C3,6.942720481519692,0.054202401722029295,-16.801509512745433
C#Cc1c(N)ccccc2[n-]c(C=NN=N)nc2cc1C#N,4.745386725872865,0.37958608800646476,-16.083570714559208
Cc1nnn(C(=O)c2ccc3ccccc3c2)c1CN[C@@H]1CCC[C@H](C)C1,3.2377956281362525,0.7591130591521975,1.090598383641193
C[C@H](COC(=S)Nc1ccc2cc3[nH]c(C=NN=N)nc3cc2c1)NN,3.9922069886574487,0.14870594707434392,-0.8256646708074447
